id,user_id,age,consent_commercial,consent_research,created_at_in_epoch,created_at,current_language,described_identity,first_language,gender,phone_model,id,user_id,audio_id,string_id,affect,last_modified,phone_position,file_name,id,audio_id,chunk_name,script,file_location
148,user_1533440b-337a-4662-9118-646eb138fad0,25-39,t,t,1654088489,"Wed, 01 Jun 2022 13:01:29 +0000",English,,English,Woman,Samsung Galaxy s8+,334,148,shout_data_739dbf1c-ec21-42db-9e49-3aab58529973.wav,user_1533440b-337a-4662-9118-646eb138fad0,disgust,"Tue, 02 Aug 2022 04:19:56 +0000",Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_739dbf1c-ec21-42db-9e49-3aab58529973.wav,18654,334,/final/chunk11.wav,birds make new jingles,shout-data\shout-data\shout_data_739dbf1c-ec21-42db-9e49-3aab58529973\final\chunk11.wav
148,user_1533440b-337a-4662-9118-646eb138fad0,25-39,t,t,1654088489,"Wed, 01 Jun 2022 13:01:29 +0000",English,,English,Woman,Samsung Galaxy s8+,334,148,shout_data_739dbf1c-ec21-42db-9e49-3aab58529973.wav,user_1533440b-337a-4662-9118-646eb138fad0,disgust,"Tue, 02 Aug 2022 04:19:56 +0000",Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_739dbf1c-ec21-42db-9e49-3aab58529973.wav,18655,334,/final/chunk13.wav,birds make new jingles,shout-data\shout-data\shout_data_739dbf1c-ec21-42db-9e49-3aab58529973\final\chunk13.wav
148,user_1533440b-337a-4662-9118-646eb138fad0,25-39,t,t,1654088489,"Wed, 01 Jun 2022 13:01:29 +0000",English,,English,Woman,Samsung Galaxy s8+,334,148,shout_data_739dbf1c-ec21-42db-9e49-3aab58529973.wav,user_1533440b-337a-4662-9118-646eb138fad0,disgust,"Tue, 02 Aug 2022 04:19:56 +0000",Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_739dbf1c-ec21-42db-9e49-3aab58529973.wav,18656,334,/final/chunk15.wav,birds make new jingles,shout-data\shout-data\shout_data_739dbf1c-ec21-42db-9e49-3aab58529973\final\chunk15.wav
149,user_64e22cbb-9b8d-4f3f-a35e-a224df73d9d2,40-60,t,t,1649615601,"Sun, 10 Apr 2022 18:33:21 +0000",English,,English,Man,Samsung,453,149,shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282.wav,user_64e22cbb-9b8d-4f3f-a35e-a224df73d9d2,disgust,"Tue, 02 Aug 2022 04:17:07 +0000",Place your phone in a bag and hold it next to your hip 7/19,/media/data/shout-data/shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282.wav,18657,453,/final/chunk00.wav,ripped ocean jumper,shout-data\shout-data\shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282\final\chunk00.wav
149,user_64e22cbb-9b8d-4f3f-a35e-a224df73d9d2,40-60,t,t,1649615601,"Sun, 10 Apr 2022 18:33:21 +0000",English,,English,Man,Samsung,453,149,shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282.wav,user_64e22cbb-9b8d-4f3f-a35e-a224df73d9d2,disgust,"Tue, 02 Aug 2022 04:17:07 +0000",Place your phone in a bag and hold it next to your hip 7/19,/media/data/shout-data/shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282.wav,18658,453,/final/chunk10.wav,ripped ocean jumper,shout-data\shout-data\shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282\final\chunk10.wav
149,user_64e22cbb-9b8d-4f3f-a35e-a224df73d9d2,40-60,t,t,1649615601,"Sun, 10 Apr 2022 18:33:21 +0000",English,,English,Man,Samsung,453,149,shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282.wav,user_64e22cbb-9b8d-4f3f-a35e-a224df73d9d2,disgust,"Tue, 02 Aug 2022 04:17:07 +0000",Place your phone in a bag and hold it next to your hip 7/19,/media/data/shout-data/shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282.wav,18659,453,/final/chunk30.wav,ripped ocean jumper,shout-data\shout-data\shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282\final\chunk30.wav
82,user_bfd2faaa-3a22-4154-a1c0-84ef122eed6b,25-39,t,t,1647715301,"Sat, 19 Mar 2022 18:41:41 +0000",English,,Hungarian,Woman,Samsung S8,1453,82,shout_data_b0cac9f6-259d-4f64-9366-26698550ef43.wav,user_bfd2faaa-3a22-4154-a1c0-84ef122eed6b,joy,"Tue, 02 Aug 2022 04:24:43 +0000",Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_b0cac9f6-259d-4f64-9366-26698550ef43.wav,18660,1453,/final/chunk10.wav,ripped ocean jumper,shout-data\shout-data\shout_data_b0cac9f6-259d-4f64-9366-26698550ef43\final\chunk10.wav
80,user_5cf6d4c3-15be-4053-bb0d-73beb5ce6c81,25-39,t,t,1649762292,"Tue, 12 Apr 2022 11:18:12 +0000",English,,English,Woman,Samsung,1101,80,shout_data_fae60f89-5144-41b3-9173-6d943cb2738d.wav,user_5cf6d4c3-15be-4053-bb0d-73beb5ce6c81,joy,"Tue, 02 Aug 2022 04:30:33 +0000",Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_fae60f89-5144-41b3-9173-6d943cb2738d.wav,18669,1101,/final/chunk01.wav,snow meteor down the chimney,shout-data\shout-data\shout_data_fae60f89-5144-41b3-9173-6d943cb2738d\final\chunk01.wav
149,user_64e22cbb-9b8d-4f3f-a35e-a224df73d9d2,40-60,t,t,1649615601,"Sun, 10 Apr 2022 18:33:21 +0000",English,,English,Man,Samsung,754,149,shout_data_8b12154a-ac79-4560-b108-9bde561b8027.wav,user_64e22cbb-9b8d-4f3f-a35e-a224df73d9d2,neutral,"Tue, 02 Aug 2022 04:21:42 +0000",Hold your phone next to your hip with your hand covering the mic 5/19,/media/data/shout-data/shout_data_8b12154a-ac79-4560-b108-9bde561b8027.wav,29436,754,/final/chunk10.wav,bananas and mustard sandwiches,shout-data\shout-data\shout_data_8b12154a-ac79-4560-b108-9bde561b8027\final\chunk10.wav
80,user_5cf6d4c3-15be-4053-bb0d-73beb5ce6c81,25-39,t,t,1649762292,"Tue, 12 Apr 2022 11:18:12 +0000",English,,English,Woman,Samsung,1101,80,shout_data_fae60f89-5144-41b3-9173-6d943cb2738d.wav,user_5cf6d4c3-15be-4053-bb0d-73beb5ce6c81,joy,"Tue, 02 Aug 2022 04:30:33 +0000",Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_fae60f89-5144-41b3-9173-6d943cb2738d.wav,18671,1101,/final/chunk21.wav,snow meteor down the chimney,shout-data\shout-data\shout_data_fae60f89-5144-41b3-9173-6d943cb2738d\final\chunk21.wav
