id,user_id,age,consent_commercial,consent_research,created_at_in_epoch,created_at,current_language,described_identity,first_language,gender,phone_model,id,user_id_num,audio_id,string_id,affect,last_modified,phone_position,id,audio_id,chunk_name,script,file_location,file_name,shout_level
25,user_5b6bd2f9-2df7-447c-b015-22860360a638,60 and over,t,t,1654029148,"Tue, 31 May 2022 20:32:28 +0000",English,,English,Woman,Samsung Galaxy 8,1557,25,shout_data_0011b53d-d81a-4013-bcce-885f54da2129.wav,user_5b6bd2f9-2df7-447c-b015-22860360a638,anger,"Tue, 02 Aug 2022 04:11:10 +0000",Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,26879,1557,/final/chunk01.wav,another dog secretary show,shout-data\shout-data\shout_data_0011b53d-d81a-4013-bcce-885f54da2129\final\chunk01.wav,/media/data/shout-data/shout_data_0011b53d-d81a-4013-bcce-885f54da2129.wav,no-shout
25,user_5b6bd2f9-2df7-447c-b015-22860360a638,60 and over,t,t,1654029148,"Tue, 31 May 2022 20:32:28 +0000",English,,English,Woman,Samsung Galaxy 8,1557,25,shout_data_0011b53d-d81a-4013-bcce-885f54da2129.wav,user_5b6bd2f9-2df7-447c-b015-22860360a638,anger,"Tue, 02 Aug 2022 04:11:10 +0000",Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,26881,1557,/final/chunk03.wav,another dog secretary show,shout-data\shout-data\shout_data_0011b53d-d81a-4013-bcce-885f54da2129\final\chunk03.wav,/media/data/shout-data/shout_data_0011b53d-d81a-4013-bcce-885f54da2129.wav,shout 
25,user_5b6bd2f9-2df7-447c-b015-22860360a638,60 and over,t,t,1654029148,"Tue, 31 May 2022 20:32:28 +0000",English,,English,Woman,Samsung Galaxy 8,1557,25,shout_data_0011b53d-d81a-4013-bcce-885f54da2129.wav,user_5b6bd2f9-2df7-447c-b015-22860360a638,anger,"Tue, 02 Aug 2022 04:11:10 +0000",Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,26883,1557,/final/chunk21.wav,sorry I cant scream I am a singer,shout-data\shout-data\shout_data_0011b53d-d81a-4013-bcce-885f54da2129\final\chunk21.wav,/media/data/shout-data/shout_data_0011b53d-d81a-4013-bcce-885f54da2129.wav,no-shout
108,user_d55f28a7-c52e-44ab-9492-520fc0dff2a6,18-24,t,t,1655662426,"Sun, 19 Jun 2022 18:13:46 +0000",English,,Portuguese,Woman,Galaxy S10,834,108,shout_data_0032260d-8a52-4347-873c-6d6a88abe729.wav,user_d55f28a7-c52e-44ab-9492-520fc0dff2a6,disgust,"Tue, 02 Aug 2022 04:11:11 +0000",Hold your phone next to your hip with your hand covering the mic 5/19,24871,834,/final/chunk10.wav,heavy undersea birthday pumpkins,shout-data\shout-data\shout_data_0032260d-8a52-4347-873c-6d6a88abe729\final\chunk10.wav,/media/data/shout-data/shout_data_0032260d-8a52-4347-873c-6d6a88abe729.wav,no-shout
108,user_d55f28a7-c52e-44ab-9492-520fc0dff2a6,18-24,t,t,1655662426,"Sun, 19 Jun 2022 18:13:46 +0000",English,,Portuguese,Woman,Galaxy S10,834,108,shout_data_0032260d-8a52-4347-873c-6d6a88abe729.wav,user_d55f28a7-c52e-44ab-9492-520fc0dff2a6,disgust,"Tue, 02 Aug 2022 04:11:11 +0000",Hold your phone next to your hip with your hand covering the mic 5/19,24875,834,/final/chunk41.wav,heavy undersea birthday pumpkins,shout-data\shout-data\shout_data_0032260d-8a52-4347-873c-6d6a88abe729\final\chunk41.wav,/media/data/shout-data/shout_data_0032260d-8a52-4347-873c-6d6a88abe729.wav,shout 
108,user_d55f28a7-c52e-44ab-9492-520fc0dff2a6,18-24,t,t,1655662426,"Sun, 19 Jun 2022 18:13:46 +0000",English,,Portuguese,Woman,Galaxy S10,834,108,shout_data_0032260d-8a52-4347-873c-6d6a88abe729.wav,user_d55f28a7-c52e-44ab-9492-520fc0dff2a6,disgust,"Tue, 02 Aug 2022 04:11:11 +0000",Hold your phone next to your hip with your hand covering the mic 5/19,24876,834,/final/chunk50.wav,heavy undersea birthday pumpkins,shout-data\shout-data\shout_data_0032260d-8a52-4347-873c-6d6a88abe729\final\chunk50.wav,/media/data/shout-data/shout_data_0032260d-8a52-4347-873c-6d6a88abe729.wav,no-shout
69,user_5842db80-05fb-46ef-85b6-a5581899b5cc,40-60,t,t,1655687240,"Mon, 20 Jun 2022 01:07:20 +0000",English,,English,Woman,Iphone,2692,69,shout_data_004712bc-f94b-46f3-9c37-f6870052b0f5.wav,user_5842db80-05fb-46ef-85b6-a5581899b5cc,surprise,"Tue, 02 Aug 2022 04:11:11 +0000",Place your phone in your pocket 6/19,28088,2692,/final/chunka.wav,snow meteor down the chimney,shout-data\shout-data\shout_data_004712bc-f94b-46f3-9c37-f6870052b0f5\final\chunka.wav,/media/data/shout-data/shout_data_004712bc-f94b-46f3-9c37-f6870052b0f5.wav,no-shout
69,user_5842db80-05fb-46ef-85b6-a5581899b5cc,40-60,t,t,1655687240,"Mon, 20 Jun 2022 01:07:20 +0000",English,,English,Woman,Iphone,2692,69,shout_data_004712bc-f94b-46f3-9c37-f6870052b0f5.wav,user_5842db80-05fb-46ef-85b6-a5581899b5cc,surprise,"Tue, 02 Aug 2022 04:11:11 +0000",Place your phone in your pocket 6/19,28089,2692,/final/chunkb.wav,snow meteor down the chimney,shout-data\shout-data\shout_data_004712bc-f94b-46f3-9c37-f6870052b0f5\final\chunkb.wav,/media/data/shout-data/shout_data_004712bc-f94b-46f3-9c37-f6870052b0f5.wav,shout 
69,user_5842db80-05fb-46ef-85b6-a5581899b5cc,40-60,t,t,1655687240,"Mon, 20 Jun 2022 01:07:20 +0000",English,,English,Woman,Iphone,2692,69,shout_data_004712bc-f94b-46f3-9c37-f6870052b0f5.wav,user_5842db80-05fb-46ef-85b6-a5581899b5cc,surprise,"Tue, 02 Aug 2022 04:11:11 +0000",Place your phone in your pocket 6/19,28090,2692,/final/chunkc.wav,snow meteor down the chimney,shout-data\shout-data\shout_data_004712bc-f94b-46f3-9c37-f6870052b0f5\final\chunkc.wav,/media/data/shout-data/shout_data_004712bc-f94b-46f3-9c37-f6870052b0f5.wav,shout 
156,user_b23d2fda-da8e-41da-ba5a-133b2d0f0421,40-60,t,t,1653191991,"Sun, 22 May 2022 03:59:51 +0000",English,,English,Woman,I phone7,464,156,shout_data_00a0fb59-49f0-40e1-8481-6a334c65b126.wav,user_b23d2fda-da8e-41da-ba5a-133b2d0f0421,neutral,"Tue, 02 Aug 2022 04:11:12 +0000",Place phone 1-2 meters away face up on any surface 8/19,21011,464,/final/chunk11.wav,join the Ear Look club,shout-data\shout-data\shout_data_00a0fb59-49f0-40e1-8481-6a334c65b126\final\chunk11.wav,/media/data/shout-data/shout_data_00a0fb59-49f0-40e1-8481-6a334c65b126.wav,shout 
156,user_b23d2fda-da8e-41da-ba5a-133b2d0f0421,40-60,t,t,1653191991,"Sun, 22 May 2022 03:59:51 +0000",English,,English,Woman,I phone7,464,156,shout_data_00a0fb59-49f0-40e1-8481-6a334c65b126.wav,user_b23d2fda-da8e-41da-ba5a-133b2d0f0421,neutral,"Tue, 02 Aug 2022 04:11:12 +0000",Place phone 1-2 meters away face up on any surface 8/19,21012,464,/final/chunk20.wav,join the Ear Look club,shout-data\shout-data\shout_data_00a0fb59-49f0-40e1-8481-6a334c65b126\final\chunk20.wav,/media/data/shout-data/shout_data_00a0fb59-49f0-40e1-8481-6a334c65b126.wav,no-shout
156,user_b23d2fda-da8e-41da-ba5a-133b2d0f0421,40-60,t,t,1653191991,"Sun, 22 May 2022 03:59:51 +0000",English,,English,Woman,I phone7,464,156,shout_data_00a0fb59-49f0-40e1-8481-6a334c65b126.wav,user_b23d2fda-da8e-41da-ba5a-133b2d0f0421,neutral,"Tue, 02 Aug 2022 04:11:12 +0000",Place phone 1-2 meters away face up on any surface 8/19,21013,464,/final/chunk31.wav,join the Ear Look club,shout-data\shout-data\shout_data_00a0fb59-49f0-40e1-8481-6a334c65b126\final\chunk31.wav,/media/data/shout-data/shout_data_00a0fb59-49f0-40e1-8481-6a334c65b126.wav,no-shout
130,user_6d3df5f4-4f73-4bc7-9558-5df30c91b36e,25-39,t,t,1649523015,"Sat, 09 Apr 2022 16:50:15 +0000",English,,English,Woman,iPhone 12,394,130,shout_data_00a553ba-34a4-40f2-8810-e4a33fe9f89f.wav,user_6d3df5f4-4f73-4bc7-9558-5df30c91b36e,joy,"Tue, 02 Aug 2022 04:11:13 +0000",Place phone on the opposite side of the room face up on any surface 12/19,21861,394,/final/chunk10.wav,ripped ocean jumper,shout-data\shout-data\shout_data_00a553ba-34a4-40f2-8810-e4a33fe9f89f\final\chunk10.wav,/media/data/shout-data/shout_data_00a553ba-34a4-40f2-8810-e4a33fe9f89f.wav,no-shout
130,user_6d3df5f4-4f73-4bc7-9558-5df30c91b36e,25-39,t,t,1649523015,"Sat, 09 Apr 2022 16:50:15 +0000",English,,English,Woman,iPhone 12,394,130,shout_data_00a553ba-34a4-40f2-8810-e4a33fe9f89f.wav,user_6d3df5f4-4f73-4bc7-9558-5df30c91b36e,joy,"Tue, 02 Aug 2022 04:11:13 +0000",Place phone on the opposite side of the room face up on any surface 12/19,21862,394,/final/chunk20.wav,ripped ocean jumper,shout-data\shout-data\shout_data_00a553ba-34a4-40f2-8810-e4a33fe9f89f\final\chunk20.wav,/media/data/shout-data/shout_data_00a553ba-34a4-40f2-8810-e4a33fe9f89f.wav,shout 
130,user_6d3df5f4-4f73-4bc7-9558-5df30c91b36e,25-39,t,t,1649523015,"Sat, 09 Apr 2022 16:50:15 +0000",English,,English,Woman,iPhone 12,394,130,shout_data_00a553ba-34a4-40f2-8810-e4a33fe9f89f.wav,user_6d3df5f4-4f73-4bc7-9558-5df30c91b36e,joy,"Tue, 02 Aug 2022 04:11:13 +0000",Place phone on the opposite side of the room face up on any surface 12/19,21863,394,/final/chunk21.wav,ripped ocean jumper,shout-data\shout-data\shout_data_00a553ba-34a4-40f2-8810-e4a33fe9f89f\final\chunk21.wav,/media/data/shout-data/shout_data_00a553ba-34a4-40f2-8810-e4a33fe9f89f.wav,shout 
26,user_8f564685-354f-48fb-8cb9-7acd77d1200e,18-24,t,t,1654320197,"Sat, 04 Jun 2022 05:23:17 +0000",English,,Chinese,Woman,Iphone X,2695,26,shout_data_00b64a10-e3cd-49b1-b14f-29f5f80ed3b9.wav,user_8f564685-354f-48fb-8cb9-7acd77d1200e,fear,"Tue, 02 Aug 2022 04:11:14 +0000",Hold your phone next to your face with your hand covering the mic 3/19,28091,2695,/final/chunka.wav,wolf ring lights are fantastic,shout-data\shout-data\shout_data_00b64a10-e3cd-49b1-b14f-29f5f80ed3b9\final\chunka.wav,/media/data/shout-data/shout_data_00b64a10-e3cd-49b1-b14f-29f5f80ed3b9.wav,no-shout
26,user_8f564685-354f-48fb-8cb9-7acd77d1200e,18-24,t,t,1654320197,"Sat, 04 Jun 2022 05:23:17 +0000",English,,Chinese,Woman,Iphone X,2695,26,shout_data_00b64a10-e3cd-49b1-b14f-29f5f80ed3b9.wav,user_8f564685-354f-48fb-8cb9-7acd77d1200e,fear,"Tue, 02 Aug 2022 04:11:14 +0000",Hold your phone next to your face with your hand covering the mic 3/19,28092,2695,/final/chunkb.wav,wolf ring lights are fantastic,shout-data\shout-data\shout_data_00b64a10-e3cd-49b1-b14f-29f5f80ed3b9\final\chunkb.wav,/media/data/shout-data/shout_data_00b64a10-e3cd-49b1-b14f-29f5f80ed3b9.wav,no-shout
26,user_8f564685-354f-48fb-8cb9-7acd77d1200e,18-24,t,t,1654320197,"Sat, 04 Jun 2022 05:23:17 +0000",English,,Chinese,Woman,Iphone X,2695,26,shout_data_00b64a10-e3cd-49b1-b14f-29f5f80ed3b9.wav,user_8f564685-354f-48fb-8cb9-7acd77d1200e,fear,"Tue, 02 Aug 2022 04:11:14 +0000",Hold your phone next to your face with your hand covering the mic 3/19,28093,2695,/final/chunkc.wav,wolf ring lights are fantastic,shout-data\shout-data\shout_data_00b64a10-e3cd-49b1-b14f-29f5f80ed3b9\final\chunkc.wav,/media/data/shout-data/shout_data_00b64a10-e3cd-49b1-b14f-29f5f80ed3b9.wav,shout 
94,user_28c544ca-c7cc-4435-91e3-309043dd2ec9,40-60,t,t,1655678164,"Sun, 19 Jun 2022 22:36:04 +0000",English,,Italian,Man,iPhone 6,33,94,shout_data_00e2e97a-11fb-44e2-b039-42e72186cfcd.wav,user_28c544ca-c7cc-4435-91e3-309043dd2ec9,joy,"Tue, 02 Aug 2022 04:11:14 +0000",Place your phone in a bag and hold it next to your hip 7/19,24151,33,/final/chunk20.wav,snow meteor down the chimney,shout-data\shout-data\shout_data_00e2e97a-11fb-44e2-b039-42e72186cfcd\final\chunk20.wav,/media/data/shout-data/shout_data_00e2e97a-11fb-44e2-b039-42e72186cfcd.wav,no-shout
94,user_28c544ca-c7cc-4435-91e3-309043dd2ec9,40-60,t,t,1655678164,"Sun, 19 Jun 2022 22:36:04 +0000",English,,Italian,Man,iPhone 6,33,94,shout_data_00e2e97a-11fb-44e2-b039-42e72186cfcd.wav,user_28c544ca-c7cc-4435-91e3-309043dd2ec9,joy,"Tue, 02 Aug 2022 04:11:14 +0000",Place your phone in a bag and hold it next to your hip 7/19,24154,33,/final/chunk51.wav,snow meteor down the chimney,shout-data\shout-data\shout_data_00e2e97a-11fb-44e2-b039-42e72186cfcd\final\chunk51.wav,/media/data/shout-data/shout_data_00e2e97a-11fb-44e2-b039-42e72186cfcd.wav,shout 
94,user_28c544ca-c7cc-4435-91e3-309043dd2ec9,40-60,t,t,1655678164,"Sun, 19 Jun 2022 22:36:04 +0000",English,,Italian,Man,iPhone 6,33,94,shout_data_00e2e97a-11fb-44e2-b039-42e72186cfcd.wav,user_28c544ca-c7cc-4435-91e3-309043dd2ec9,joy,"Tue, 02 Aug 2022 04:11:14 +0000",Place your phone in a bag and hold it next to your hip 7/19,24155,33,/final/chunk60.wav,snow meteor down the chimney,shout-data\shout-data\shout_data_00e2e97a-11fb-44e2-b039-42e72186cfcd\final\chunk60.wav,/media/data/shout-data/shout_data_00e2e97a-11fb-44e2-b039-42e72186cfcd.wav,no-shout
